Model probability	Spectral learning probability
9.105599e-11	1.072717e-10	[0, 6, 2, 1, 0, 4, 2, 0, 5, 4, 5]
1.509515e-54	1.258694e-54	[1, 3, 7, 2, 4, 1, 6, 4, 6, 1, 3, 5, 7, 6, 7, 1, 6, 7, 3, 3, 7, 0, 7, 0, 3, 6, 2, 1, 3, 3, 4, 7, 4, 6, 2, 5, 4, 6, 6, 1, 0, 6, 1, 3, 0, 0, 7, 7, 4, 0, 6, 0, 0, 7, 3, 0, 2, 3, 2, 1]
1.880679e-12	2.297814e-12	[2, 4, 3, 6, 1, 4, 6, 7, 2, 6, 7, 1, 7]
6.804467e-81	4.688012e-81	[2, 2, 6, 0, 5, 6, 2, 4, 1, 2, 1, 7, 3, 0, 1, 7, 0, 5, 0, 7, 0, 7, 2, 3, 7, 6, 6, 2, 1, 4, 0, 0, 6, 6, 7, 4, 2, 0, 7, 5, 0, 7, 4, 1, 1, 5, 6, 0, 3, 2, 4, 4, 6, 2, 3, 0, 0, 4, 5, 2, 3, 0, 6, 0, 5, 0, 0, 4, 7, 3, 7, 4, 0, 7, 1, 3, 0, 6, 0, 4, 2, 2, 2, 5, 0, 5, 0, 0, 6, 2, 0]
3.776500e-22	4.894448e-22	[4, 0, 7, 7, 3, 3, 6, 0, 7, 0, 0, 0, 5, 2, 0, 3, 1, 4, 7, 6, 2, 2, 1, 4]
4.598802e-61	3.378348e-61	[4, 3, 0, 5, 0, 7, 0, 1, 0, 2, 6, 1, 0, 1, 6, 6, 3, 4, 7, 0, 6, 2, 4, 0, 2, 1, 3, 3, 6, 0, 2, 0, 6, 1, 1, 1, 1, 7, 7, 3, 4, 0, 0, 2, 0, 7, 2, 4, 4, 5, 0, 0, 2, 0, 0, 7, 2, 0, 6, 0, 3, 3, 6, 3, 6, 4, 4, 5]
1.537482e-65	1.505755e-65	[4, 2, 7, 2, 3, 6, 5, 1, 4, 1, 5, 5, 1, 2, 0, 0, 5, 7, 2, 7, 1, 5, 0, 0, 5, 3, 7, 5, 2, 1, 4, 4, 3, 0, 4, 0, 2, 2, 3, 3, 2, 0, 6, 7, 2, 6, 1, 4, 1, 0, 1, 7, 2, 6, 7, 0, 1, 6, 2, 1, 5, 3, 5, 7, 7, 2, 0, 6, 2, 0, 4]
2.621784e-11	2.609411e-11	[6, 0, 2, 1, 0, 5, 0, 0, 1, 0, 1, 2]
2.970796e-50	2.911888e-50	[1, 6, 3, 2, 7, 2, 3, 6, 4, 6, 1, 4, 4, 6, 1, 6, 6, 0, 5, 3, 4, 6, 7, 5, 1, 7, 6, 4, 0, 0, 0, 6, 5, 7, 0, 2, 7, 1, 5, 4, 1, 6, 5, 2, 5, 5, 1, 2, 3, 4, 0, 3, 3, 5]
1.976867e-24	2.302036e-24	[5, 7, 4, 7, 4, 0, 0, 6, 2, 2, 2, 6, 2, 5, 4, 3, 3, 6, 1, 0, 6, 0, 2, 7, 7, 7, 2]
1.638587e-62	1.454852e-62	[5, 5, 2, 2, 0, 2, 2, 6, 5, 6, 6, 6, 0, 4, 7, 1, 2, 2, 0, 0, 6, 0, 7, 7, 0, 5, 2, 5, 0, 4, 0, 7, 2, 0, 6, 2, 4, 3, 1, 4, 0, 4, 6, 7, 0, 7, 6, 1, 0, 7, 6, 7, 1, 6, 7, 2, 2, 0, 0, 6, 2, 2, 2, 6, 0, 2, 2, 1, 2, 0, 0, 6]
5.725813e-45	4.362749e-45	[0, 3, 7, 4, 7, 5, 0, 6, 5, 6, 1, 2, 2, 1, 0, 4, 1, 3, 7, 4, 4, 7, 7, 0, 7, 6, 2, 1, 3, 2, 4, 6, 1, 7, 7, 4, 7, 1, 7, 4, 0, 7, 5, 0, 4, 2, 7, 1, 0]
6.882099e-19	6.654220e-19	[0, 7, 4, 4, 6, 2, 7, 6, 7, 2, 1, 7, 7, 0, 2, 6, 6, 5, 1, 7, 7]
1.808548e-42	1.528949e-42	[2, 4, 1, 2, 2, 0, 4, 4, 3, 6, 0, 5, 5, 1, 7, 5, 5, 2, 0, 3, 5, 5, 6, 4, 0, 7, 5, 7, 1, 3, 7, 1, 5, 6, 5, 1, 6, 2, 0, 6, 4, 1, 6, 1, 4]
1.434283e-65	2.215656e-65	[1, 7, 0, 0, 4, 6, 7, 7, 6, 3, 1, 0, 2, 6, 6, 6, 6, 2, 6, 7, 0, 4, 7, 0, 0, 7, 6, 2, 2, 0, 0, 0, 2, 6, 6, 5, 6, 4, 1, 7, 4, 3, 6, 4, 5, 0, 0, 0, 5, 4, 2, 6, 0, 1, 1, 3, 0, 0, 6, 4, 2, 4, 3, 4, 6, 3, 4, 5, 0, 2, 4, 7, 6, 6]
8.099863e-19	6.208249e-19	[0, 4, 4, 6, 7, 6, 0, 1, 1, 3, 5, 0, 5, 5, 3, 7, 6, 1, 0, 0]
3.615713e-83	3.240357e-83	[1, 7, 3, 7, 0, 3, 1, 6, 5, 5, 3, 4, 0, 1, 6, 7, 1, 2, 0, 6, 3, 7, 0, 7, 6, 1, 0, 5, 7, 2, 6, 1, 6, 6, 6, 0, 0, 2, 6, 3, 0, 1, 0, 7, 2, 1, 5, 0, 0, 7, 2, 7, 7, 6, 5, 6, 2, 7, 5, 7, 3, 6, 3, 0, 3, 4, 0, 5, 2, 7, 2, 2, 0, 5, 6, 7, 6, 6, 7, 4, 0, 6, 5, 6, 1, 0, 4, 3, 2, 6, 0, 2, 7, 7]
6.217004e-40	5.768847e-40	[0, 2, 7, 7, 7, 1, 1, 0, 6, 7, 4, 4, 6, 7, 7, 7, 3, 2, 2, 5, 0, 4, 2, 0, 7, 0, 2, 3, 5, 2, 7, 5, 1, 2, 7, 7, 1, 0, 4, 7, 2, 7, 1, 0]
1.080501e-27	1.008546e-27	[4, 1, 7, 7, 0, 6, 7, 1, 3, 7, 5, 0, 1, 7, 7, 1, 0, 4, 5, 7, 0, 0, 6, 4, 4, 6, 0, 0, 5, 5]
